,tipo_de_contribuinte_1,fracao_ideal,area_do_terreno,area_construida,area_ocupada,valor_do_m2_do_terreno,valor_do_m2_de_construcao,ano_da_construcao_corrigido,quantidade_de_pavimentos,testada_para_calculo,tipo_de_uso_do_imovel,tipo_de_padrao_da_construcao,tipo_de_terreno,fator_de_obsolescencia,latitude,longitude,labels
826567,0.0,0.0047,5902,188,5441,3989.0,2497.0,2005,27,50.89,0,1,1,0.88,-23.6244531,-46.68541,103
835329,0.0,0.0026,1560,36,350,2230.0,1607.0,1991,20,40.0,1,0,3,0.73,-23.6330927,-46.7038258,101
232398,1.0,0.0051,496,38,496,3442.0,2139.0,1964,19,23.2,0,0,3,0.3,-23.542243600000003,-46.634874700000005,144
328637,0.0,0.019,604,67,300,4999.0,2139.0,1970,13,12.5,0,0,1,0.41,-23.5519745,-46.6498263,84
1035933,0.0,0.0423,2637,565,1733,990.0,1854.0,1994,25,118.17,0,1,2,0.76,-23.6185158,-46.7315215,90
652498,1.0,0.0037,6200,171,4984,1582.0,1854.0,2008,25,0.0,0,1,3,0.91,-23.5517127,-46.54505379999999,136
670104,0.0,0.0068,1371,59,854,753.0,1607.0,2001,10,45.7,1,0,3,0.84,-23.5253967,-46.530260399999996,0
879625,0.0,0.0018,43200,140,5266,825.0,1607.0,1983,15,108.0,0,0,3,0.62,-23.6907176,-46.6997658,126
522308,1.0,0.021,4280,428,1370,2228.0,3092.0,2012,23,106.54,0,2,2,0.95,-23.589384399999997,-46.627891399999996,20
325551,0.0,0.0066,742,34,400,6293.0,2139.0,1967,15,14.0,0,0,1,0.35,-23.5484741,-46.6500901,84
1033559,1.0,0.073,801,220,122,1671.0,1854.0,1984,14,49.0,0,1,1,0.63,-23.6278079,-46.7303536,39
245466,0.0,0.0134,500,56,316,4316.0,1631.0,1956,15,24.26,0,4,1,0.2,-23.5521001,-46.639317600000005,52
278174,0.0,0.0037,570,27,520,4124.0,2139.0,1973,9,30.0,1,0,3,0.46,-23.538466699999997,-46.6520749,101
1106256,1.0,0.0056,8665,88,1980,72.0,927.0,2005,5,8.98,0,4,1,0.81,-23.5535798,-46.4291064,87
775230,0.0,0.0047,4740,81,3638,689.0,1607.0,2010,18,104.2,0,0,2,0.93,-23.5054569,-46.7068078,42
1020947,0.0,0.0048,10504,127,1351,837.0,1224.0,1989,14,100.36,0,0,3,0.7,-23.6415245,-46.7585429,140
99076,0.0,0.0048,2148,72,980,6480.0,2584.0,1964,15,32.05,6,5,1,0.3,-23.553186399999998,-46.661635700000005,7
354537,0.0,0.0048,6014,184,4004,2976.0,2139.0,1972,26,0.0,0,0,3,0.44,-23.5387588,-46.684172499999995,97
705389,0.0,0.04,972,130,852,1281.0,1854.0,1992,8,24.0,0,1,1,0.74,-23.5031961,-46.6033143,146
813264,0.0,0.0012,13413,57,3192,1082.0,1607.0,1973,16,62.0,0,0,1,0.46,-23.556831699999996,-46.7449281,104
207518,0.0,0.0049,3863,111,3244,2950.0,2139.0,1979,19,28.2,0,0,1,0.56,-23.587962,-46.6403353,100
5244,0.0,0.0418,1418,278,800,7874.0,2497.0,1957,14,24.7,0,1,1,0.2,-23.5659802,-46.6588386,9
455991,1.0,0.0079,2160,92,1724,1195.0,1607.0,2015,15,22.4,0,0,1,0.97,-23.543902,-46.586559799999996,93
827229,0.0,0.0157,1312,168,1312,4187.0,2139.0,1996,18,27.35,0,0,1,0.79,-23.6243523,-46.6848311,66
963831,1.0,0.0061,7835,76,436,371.0,1224.0,2014,21,127.0,0,0,1,0.96,-23.512896899999998,-46.4238436,122
1064773,0.0,0.0037,9203,150,3448,465.0,1224.0,2011,18,247.33,0,0,2,0.94,-23.649176399999998,-46.7552121,42
57253,0.0,0.0166,1500,128,500,4148.0,2139.0,1972,16,30.0,0,0,1,0.44,-23.599054100000004,-46.6625005,84
1013911,0.0,0.0159,2000,129,1699,501.0,1224.0,1994,9,40.0,0,0,1,0.76,-23.654774800000002,-46.744826,146
100906,0.0,0.0037,1961,68,1400,5230.0,2139.0,1969,19,60.82,0,0,3,0.39,-23.5495135,-46.6538344,109
1137679,1.0,0.0164,3170,328,648,2552.0,3092.0,1983,31,96.1,0,2,2,0.62,-23.6108019,-46.7043909,20
785294,0.0,0.0183,2280,288,527,2351.0,2497.0,1990,19,40.0,0,1,1,0.71,-23.531957199999997,-46.727143700000006,48
729894,0.0,0.0092,10068,339,2760,1180.0,1607.0,2013,5,124.4,0,0,2,0.96,-23.467096100000003,-46.632071999999994,95
263018,0.0,0.0039,1009,58,800,4095.0,2139.0,1962,19,30.67,0,0,1,0.26,-23.550235,-46.641617,84
475802,0.0,0.0204,672,73,612,5499.0,2139.0,1977,9,14.0,0,0,1,0.52,-23.5580942,-46.6412052,84
768975,1.0,0.0047,8557,153,7000,762.0,1607.0,2011,20,0.0,0,0,3,0.94,-23.498409699999996,-46.6955052,81
280365,0.0,0.0311,227,48,210,2505.0,2139.0,1970,12,12.6,0,0,1,0.41,-23.5364227,-46.6512104,133
502253,0.0,0.0038,6090,146,4869,1424.0,2139.0,2010,25,128.3,0,0,2,0.93,-23.5746003,-46.605969,42
1136900,0.0,0.0218,1980,184,495,2320.0,2139.0,1995,9,40.0,0,0,1,0.78,-23.6078861,-46.7086071,100
920555,1.0,0.0039,12079,87,2486,358.0,927.0,2013,5,117.5,0,4,2,0.93,-23.533705100000002,-46.4055741,87
984249,1.0,0.0143,2314,111,594,636.0,1224.0,2015,8,47.07,0,0,3,0.97,-23.590533800000003,-46.5052873,38
831254,0.0,0.0054,1800,74,1800,1737.0,1607.0,1999,19,30.0,0,0,1,0.82,-23.6467453,-46.7046066,78
1046798,0.0,0.0481,782,178,699,1696.0,1607.0,2004,12,23.0,0,0,1,0.88,-23.6177713,-46.7380564,128
305623,0.0,0.1627,329,96,259,2541.0,1383.0,1949,2,9.0,0,9,1,0.2,-23.5561236,-46.6439034,22
981248,1.0,0.0037,5515,75,2452,464.0,1224.0,2015,20,0.0,0,0,3,0.97,-23.5728069,-46.5033157,38
183724,0.0,0.0029,1523,29,295,2640.0,2139.0,1989,13,27.0,1,0,3,0.7,-23.6201612,-46.679593700000005,101
787663,0.0,0.0195,3220,323,2628,1871.0,2497.0,2005,9,71.4,0,1,1,0.88,-23.5316357,-46.71563270000001,146
720342,0.0,0.0066,5840,94,2200,1073.0,1285.0,1998,9,93.2,0,4,2,0.68,-23.476686899999997,-46.6237443,64
912264,0.0,0.0195,963,111,242,983.0,1607.0,1987,14,26.0,0,0,1,0.67,-23.5130742,-46.5169026,10
803381,0.0,0.0173,925,118,250,2391.0,2139.0,1973,18,26.0,0,0,1,0.46,-23.5411153,-46.69914910000001,133
90713,1.0,0.0744,2282,819,1191,5903.0,3599.0,1997,15,40.0,0,3,3,0.8,-23.5932419,-46.666872999999995,110
1126125,1.0,0.005,6905,54,1475,72.0,927.0,2006,10,78.33,0,4,3,0.83,-23.5935533,-46.406509899999996,35
730837,0.0,0.0169,3133,250,2340,1337.0,1607.0,2014,9,72.43,0,0,2,0.96,-23.4758086,-46.632809,125
846203,0.0,0.0064,4814,106,3209,1585.0,1607.0,1993,15,45.52,0,0,1,0.75,-23.6602883,-46.695513299999995,128
1124508,0.0,0.0104,4695,49,1163,72.0,703.0,1996,4,0.0,0,12,3,0.64,-23.5904745,-46.41044,119
353137,0.0,0.0115,1500,122,1382,2978.0,2139.0,2005,23,30.0,0,0,1,0.88,-23.5349076,-46.6868006,66
181093,0.0,0.0019,1279,23,400,2821.0,2139.0,1981,14,29.3,1,0,1,0.59,-23.615066199999998,-46.673826700000006,53
1089190,0.0,0.0229,1602,48,458,156.0,703.0,1987,5,0.0,0,12,3,0.42,-23.555013600000002,-46.432302500000006,17
550771,0.0,0.0119,1920,174,1648,3451.0,2497.0,2003,22,32.0,0,1,1,0.86,-23.601577399999996,-46.6462909,48
916931,0.0,0.0148,2233,86,700,487.0,1224.0,1982,9,0.0,0,0,3,0.6,-23.5008157,-46.434071,140
718215,0.0,0.0119,2780,160,1000,1737.0,2497.0,2012,23,109.98,0,1,1,0.95,-23.4964369,-46.623423700000004,37
960457,1.0,0.0166,1910,47,572,274.0,703.0,1986,5,34.98,0,12,1,0.4,-23.5655559,-46.401978799999995,91
543931,0.0,0.0107,1917,194,1664,3151.0,2497.0,2007,24,34.5,0,1,3,0.9,-23.5969456,-46.647641799999995,109
472292,0.0,0.0264,2323,506,1878,1513.0,2213.0,2009,30,60.0,0,2,1,0.92,-23.5683815,-46.5951063,146
1013280,0.0,0.0251,1500,64,447,757.0,1607.0,1984,5,60.0,0,0,1,0.63,-23.7159316,-46.6947499,10
390607,0.0,0.0257,1080,220,600,6304.0,2497.0,1973,16,20.0,0,1,1,0.46,-23.539132000000002,-46.6567971,9
847290,1.0,0.0017,4591,43,1260,2074.0,1854.0,1978,20,121.5,1,1,2,0.54,-23.649689300000002,-46.695254,118
1092971,1.0,0.0229,1597,48,458,217.0,703.0,1987,5,27.15,0,12,1,0.42,-23.551976,-46.443732000000004,91
122780,0.0,0.0238,1622,312,1238,6709.0,2497.0,2007,22,41.0,0,1,2,0.9,-23.5757376,-46.6464124,88
815848,0.0,0.0064,2744,102,1468,3524.0,2139.0,1973,11,47.85,0,0,1,0.46,-23.5631355,-46.6989028,100
977111,1.0,0.0313,1415,49,362,607.0,703.0,1986,5,85.26,0,12,2,0.4,-23.554375600000004,-46.4841843,91
1035384,1.0,0.0071,6072,244,2958,2007.0,2213.0,2011,22,0.0,0,2,3,0.94,-23.6255179,-46.7214606,38
601877,0.0,0.0058,1067,36,285,2285.0,1854.0,1988,11,20.0,1,1,1,0.69,-23.6254459,-46.623809,131
68274,0.0,0.0123,1800,154,800,4475.0,2139.0,1980,21,40.0,0,0,2,0.57,-23.6020722,-46.669354600000005,82
1073432,1.0,0.005,7737,52,5158,263.0,703.0,1997,5,96.43,0,12,1,0.66,-23.5190315,-46.388653600000005,6
287617,0.0,0.0138,870,126,538,3750.0,2139.0,1962,19,22.88,0,0,1,0.26,-23.540402399999998,-46.645607399999996,84
477313,0.0,0.0133,855,80,716,4886.0,2139.0,2000,17,17.5,0,0,1,0.83,-23.5652542,-46.6415926,66
726115,1.0,0.004,10431,93,3540,618.0,1285.0,1986,5,0.0,0,4,3,0.4,-23.467312699999997,-46.6082796,62
270395,0.0,0.008,578,64,254,2730.0,2139.0,1977,29,67.93,0,0,1,0.52,-23.555897199999997,-46.640852200000005,33
406427,0.0,0.001,1808,23,1627,2975.0,2497.0,2005,19,36.0,1,1,1,0.88,-23.5359102,-46.6785084,131
359156,1.0,0.0271,1000,136,248,2354.0,2497.0,1976,16,20.0,0,1,1,0.51,-23.5405102,-46.6829027,31
867629,0.0,0.0272,2560,241,563,1480.0,1854.0,1983,10,50.0,0,1,3,0.62,-23.6582935,-46.6769659,58
320395,0.0,0.0567,384,99,260,4896.0,2139.0,1972,8,16.0,0,0,1,0.44,-23.5639938,-46.6443359,133
356907,0.0,0.0088,2434,130,1319,2299.0,2139.0,2013,24,49.96,0,0,2,0.96,-23.5414062,-46.6859011,42
16962,0.0,0.025,1040,193,693,8057.0,2497.0,1974,12,16.0,0,1,1,0.48,-23.562846,-46.663441299999995,9
819506,0.0,0.0487,905,130,414,2195.0,2139.0,1973,4,30.0,0,0,3,0.46,-23.627834,-46.6908834,109
725233,0.0,0.0271,960,109,588,872.0,1607.0,1999,9,20.0,0,0,1,0.82,-23.4738662,-46.604534,128
1008008,0.0,0.0021,2605,31,437,814.0,1607.0,1999,22,0.0,1,0,3,0.82,-23.5795869,-46.76439620000001,101
869127,0.0,0.0181,3412,174,667,1515.0,1607.0,1978,12,79.42,0,0,2,0.54,-23.658699300000002,-46.690870600000004,42
798835,0.0,0.0019,1282,28,297,3560.0,2139.0,1984,19,34.65,1,0,2,0.63,-23.551940300000002,-46.6984544,53
304460,0.0,0.0785,283,86,145,4411.0,2139.0,1963,5,7.85,0,0,1,0.28,-23.5392656,-46.637681,133
143973,1.0,0.0167,1528,136,360,4828.0,2139.0,1977,16,31.79,0,0,1,0.52,-23.5573792,-46.675988399999994,31
729272,0.0,0.0025,1649,13,431,852.0,1607.0,1989,11,40.0,1,0,1,0.7,-23.4723,-46.650422,131
948212,0.0,0.0252,2593,186,1580,1668.0,1854.0,1996,9,62.0,0,1,1,0.79,-23.598715600000002,-46.7254403,146
492748,0.0,0.0217,1320,182,420,2100.0,2139.0,1975,24,24.0,0,0,1,0.49,-23.5715781,-46.6284633,84
705085,0.0,0.0161,2315,130,1454,1036.0,1607.0,2003,16,50.0,0,0,3,0.86,-23.481387899999998,-46.5976972,140
1030164,0.0,0.0031,11344,52,2975,434.0,927.0,2009,6,157.0,0,4,3,0.88,-23.6186524,-46.7611451,14
369233,0.0,0.0192,1060,149,930,2299.0,1607.0,1970,13,19.85,0,0,1,0.41,-23.530552,-46.637722499999995,10
941708,1.0,0.0049,6020,78,754,716.0,1607.0,2008,17,27.54,0,0,1,0.91,-23.6912996,-46.6767175,93
868798,1.0,0.0025,14748,107,2635,972.0,1607.0,1999,20,12.56,0,0,1,0.82,-23.6703921,-46.6903266,112
1131909,0.0,0.0272,1647,56,408,72.0,703.0,1998,5,31.78,0,12,1,0.68,-23.6015331,-46.4010664,105
209289,0.0,0.0206,1470,138,1108,2925.0,2139.0,1996,9,75.94,0,0,1,0.79,-23.5883301,-46.6366341,100
33634,0.0,0.0039,2530,73,800,8335.0,2139.0,1981,22,48.0,0,0,3,0.59,-23.5701897,-46.6596186,109
1032581,0.0,0.0169,3567,244,1327,1459.0,1854.0,1996,17,69.8,0,1,3,0.79,-23.631378100000003,-46.7296135,107
793540,1.0,0.0031,5750,117,4964,2341.0,2139.0,2004,22,50.0,0,0,1,0.88,-23.528305800000002,-46.7302384,50
190592,0.0,0.0023,1740,38,1625,2222.0,2139.0,1990,25,40.0,1,0,1,0.71,-23.625852,-46.662707,131
217529,0.0,0.0083,1491,95,1093,3352.0,2139.0,2013,17,30.12,0,0,1,0.96,-23.5974176,-46.6817888,66
719238,0.0,0.0208,1235,157,1098,1263.0,1607.0,2002,13,19.6,0,0,1,0.85,-23.481509,-46.631157,128
563270,0.0,0.0608,925,237,778,2875.0,2497.0,1998,18,20.0,0,1,1,0.81,-23.6027321,-46.6440926,48
268392,1.0,0.0067,1107,58,1107,2626.0,2139.0,1993,17,26.3,0,0,1,0.75,-23.552387399999997,-46.6408689,31
417389,0.0,0.0109,3148,128,620,3260.0,2139.0,1981,12,0.0,0,0,3,0.59,-23.528641399999998,-46.6844167,109
1086541,1.0,0.0093,8421,52,2080,47.0,703.0,2000,5,44.0,0,12,1,0.72,-23.4458746,-46.7009406,77
1034541,1.0,0.013,2500,83,520,884.0,1607.0,2009,8,50.0,0,0,3,0.92,-23.6094805,-46.7284895,38
990855,0.0,0.0125,3311,52,2700,423.0,703.0,2005,5,124.12,0,12,3,0.81,-23.603247500000002,-46.50074620000001,119
349888,0.0,0.0195,2259,196,1529,1827.0,2497.0,1994,16,39.66,0,1,1,0.76,-23.5344878,-46.6936801,48
964043,1.0,0.0035,9809,73,870,371.0,1224.0,2014,18,108.0,0,0,3,0.96,-23.5123285,-46.4236838,122
635470,0.0,0.0179,1266,171,1266,2940.0,2139.0,2002,15,17.9,0,0,1,0.85,-23.540878600000003,-46.5673089,66
1172021,0.0,0.0131,1466,147,1149,3494.0,2497.0,2004,22,18.14,0,1,1,0.88,-23.599390600000003,-46.67123839999999,48
1124752,1.0,0.0208,2789,49,588,72.0,703.0,1996,4,49.87,0,12,1,0.64,-23.5930069,-46.4114035,6
48081,0.0,0.0112,2000,141,435,5078.0,2139.0,1977,19,40.0,0,0,1,0.52,-23.584678,-46.6788853,84
321396,0.0,0.054,1130,296,600,4758.0,2497.0,1970,11,16.0,0,1,1,0.41,-23.5669896,-46.643432399999995,9
599680,0.0,0.0021,16559,62,2239,1483.0,1607.0,1983,13,62.02,0,0,2,0.62,-23.630334299999998,-46.6275713,83
194213,0.0,0.011,1500,101,399,3774.0,2139.0,1982,16,34.72,0,0,1,0.6,-23.626618399999998,-46.66537279999999,133
224508,0.0,0.0121,1700,136,1394,4959.0,2497.0,2007,21,40.0,0,1,2,0.9,-23.5949698,-46.6784541,88
85646,0.0,0.0052,3168,125,3150,4802.0,2497.0,1999,26,72.0,0,1,3,0.82,-23.6067057,-46.6625026,141
332713,0.0,0.0715,254,75,230,5225.0,2139.0,1970,4,14.0,0,0,3,0.41,-23.5535426,-46.6581033,75
197486,0.0,0.0004,4800,17,1978,3183.0,2139.0,1970,16,119.49,1,0,2,0.41,-23.5802748,-46.6477165,0
450156,0.0,0.008,1730,100,1730,1504.0,1607.0,2001,15,42.34,0,0,2,0.84,-23.5571299,-46.602408600000004,42
165020,0.0,0.0019,1302,28,1302,6909.0,2497.0,2002,16,57.5,1,1,2,0.85,-23.578747399999997,-46.6494084,36
664520,0.0,0.0068,3358,142,2977,1988.0,1607.0,1991,35,50.3,0,0,1,0.73,-23.5419582,-46.5521038,78
691461,1.0,0.0028,10737,110,2744,636.0,1607.0,2016,17,0.0,0,0,3,0.98,-23.513511899999997,-46.5886259,38
1016726,1.0,0.0625,886,53,212,241.0,703.0,2000,4,71.46,0,12,2,0.72,-23.670765399999997,-46.7862239,130
346271,0.0,0.0031,4125,101,2935,4931.0,2139.0,2006,26,106.06,0,0,3,0.89,-23.5591486,-46.655830200000004,141
175383,0.0,0.0195,2500,290,392,2987.0,2497.0,1976,29,50.0,0,1,1,0.51,-23.6131503,-46.681621,48
780378,0.0,0.0018,40608,74,7901,792.0,1285.0,1982,4,170.2,0,4,1,0.29,-23.4969772,-46.719955299999995,111
150191,0.0,0.0085,5539,363,4601,5790.0,2497.0,2008,30,68.0,0,1,3,0.91,-23.5954755,-46.67114829999999,55
869932,0.0,0.0004,11672,25,8647,1498.0,1607.0,1992,21,109.47,1,0,2,0.74,-23.661954,-46.6923612,126
318635,0.0,0.0143,808,73,723,4823.0,2139.0,1997,15,16.15,0,0,1,0.8,-23.5628354,-46.643699299999994,66
84287,0.0,0.0011,800,15,263,4473.0,2497.0,1994,13,20.0,0,1,1,0.76,-23.604176000000002,-46.6575499,48
880564,0.0,0.0988,1457,355,923,2784.0,2497.0,1997,3,26.96,0,1,3,0.8,-23.54401,-46.7220467,149
165475,0.0,0.005,1650,65,1486,4326.0,3092.0,2002,23,60.0,0,2,2,0.85,-23.602031600000004,-46.692949600000006,141
181234,0.0,0.0092,1152,69,259,3917.0,2139.0,1985,19,29.99,0,0,3,0.64,-23.615363199999997,-46.6735862,109
995393,1.0,0.0047,11236,119,2239,511.0,1224.0,2012,9,87.85,0,0,1,0.95,-23.613363,-46.5233323,122
1148709,0.0,0.0071,5482,152,2392,884.0,1607.0,1991,11,0.0,0,0,3,0.73,-23.4713905,-46.6539223,12
872656,0.0,0.0136,1522,143,446,979.0,1854.0,1989,16,32.0,0,1,1,0.7,-23.6483609,-46.6436052,146
834034,0.0,0.025,1014,109,886,2005.0,1607.0,2001,11,26.0,0,0,1,0.84,-23.634152,-46.6958268,78
500462,1.0,0.0454,600,135,480,1569.0,2139.0,1974,12,15.0,0,0,1,0.48,-23.5733785,-46.613624,31
1137647,1.0,0.0164,3243,322,648,2552.0,3092.0,1980,32,96.0,0,2,2,0.57,-23.6107681,-46.7048812,20
713521,0.0,0.0312,1500,229,968,1945.0,2497.0,1992,9,30.0,0,1,3,0.74,-23.4904613,-46.6133408,109
1052976,0.0,0.0114,3998,147,588,1437.0,1607.0,1979,18,119.0,0,0,2,0.56,-23.623927399999996,-46.7339643,42
875160,1.0,0.05,1000,117,262,720.0,1607.0,1989,5,20.0,0,0,1,0.7,-23.6596919,-46.64876029999999,116
774923,1.0,0.0376,1117,123,323,736.0,1285.0,1986,8,13.5,0,4,1,0.4,-23.491722,-46.716567100000006,62
964232,1.0,0.0033,11827,77,870,418.0,1224.0,2014,19,167.0,0,0,2,0.96,-23.5131176,-46.425236600000005,122
59340,0.0,0.0369,600,144,480,4378.0,2139.0,1991,12,24.0,0,0,1,0.73,-23.6027446,-46.66235,66
223797,0.0,0.0239,1200,222,363,4643.0,2497.0,1988,17,30.0,0,1,1,0.69,-23.5938193,-46.6782011,48
195124,1.0,0.0063,1740,74,1438,3774.0,2139.0,2009,19,29.0,0,0,1,0.92,-23.6266735,-46.6654845,31
5736,0.0,0.0211,800,129,480,8226.0,2139.0,1973,14,16.0,0,0,1,0.46,-23.5686246,-46.6571225,84
1046330,0.0,0.022,1714,178,1340,1841.0,1854.0,2000,12,41.0,0,1,3,0.83,-23.619286499999998,-46.7364475,107
1068694,0.0,0.0031,19815,76,3900,493.0,927.0,2013,9,258.52,0,4,2,0.93,-23.5936708,-46.7670278,24
188348,0.0,0.0204,2072,317,1468,1792.0,3092.0,2010,21,53.0,0,2,2,0.93,-23.622737100000002,-46.675429,88
647668,0.0,0.0232,1335,259,1128,2552.0,2497.0,2009,24,18.0,0,1,1,0.92,-23.554774600000002,-46.5679291,48
645427,0.0,0.0115,2320,150,372,2871.0,2139.0,1985,25,29.0,0,0,1,0.64,-23.553335999999998,-46.5559962,100
1156661,0.0,0.0026,980,28,891,1872.0,2139.0,2006,18,20.0,1,0,1,0.89,-23.606343,-46.635917799999994,131
415511,1.0,0.0165,1750,116,353,2320.0,2497.0,1986,13,35.0,0,1,1,0.66,-23.5270327,-46.6852281,31
873153,0.0,0.0032,12476,63,1418,933.0,1607.0,1989,14,140.44,0,0,3,0.7,-23.652529100000002,-46.6474684,140
35756,0.0,0.0025,1657,27,1334,6122.0,2584.0,2004,21,54.0,3,5,1,0.88,-23.571057500000002,-46.6626655,34
1017818,1.0,0.0313,1746,49,392,222.0,703.0,2000,4,23.21,0,12,3,0.72,-23.6615183,-46.77517279999999,130
67131,0.0,0.001,3530,22,883,4555.0,2497.0,1978,19,0.0,1,1,3,0.54,-23.6023785,-46.66962279999999,101
949921,0.0,0.0355,1833,70,442,804.0,1224.0,2012,5,0.0,0,0,3,0.95,-23.454517000000003,-46.6470842,12
595074,0.0,0.0126,1429,119,1092,1670.0,2139.0,1995,21,38.98,0,0,1,0.78,-23.6298514,-46.6402344,66
821450,0.0,0.0002,3339,8,2388,2477.0,2139.0,2010,30,0.0,1,0,3,0.93,-23.620957999999998,-46.695502000000005,36
608367,0.0,0.0046,3758,100,2507,1202.0,1607.0,2013,28,72.6,0,0,1,0.96,-23.614855300000002,-46.5992519,78
249176,0.0,0.0052,680,39,600,2152.0,2139.0,1969,16,40.0,0,0,3,0.39,-23.5557753,-46.633225200000005,109
1058993,1.0,0.0051,5237,127,3582,726.0,1607.0,2012,18,133.0,0,0,1,0.95,-23.6241737,-46.7427525,93
719426,0.0,0.045,1385,187,800,1648.0,1607.0,1977,12,38.5,0,0,2,0.52,-23.4709042,-46.6173015,123
740561,0.0,0.0009,2293,25,712,1385.0,2139.0,1991,19,40.0,1,0,1,0.73,-23.488398999999998,-46.639589,131
592040,1.0,0.0136,1474,109,294,2370.0,2139.0,1979,17,58.0,0,0,2,0.56,-23.6270822,-46.6395555,116
700112,0.0,0.1675,270,138,238,1032.0,1607.0,1969,2,21.0,0,0,3,0.39,-23.4804297,-46.5898975,22
663021,0.0,0.0156,1250,140,340,2426.0,1607.0,1991,17,30.0,0,0,2,0.73,-23.552500600000002,-46.5531499,42
998706,1.0,0.0048,9825,102,3626,397.0,1224.0,1998,9,141.5,0,0,1,0.81,-23.6496533,-46.5996097,65
716968,0.0,0.0107,1050,67,500,1841.0,1631.0,1969,10,15.5,0,4,1,0.2,-23.4991602,-46.620638299999996,52
938105,0.0,0.0009,6825,32,2155,933.0,1607.0,2012,9,28.7,1,0,1,0.95,-23.6675753,-46.6767344,121
291053,0.0,0.026,200,37,180,3967.0,2139.0,1949,7,20.0,0,0,3,0.2,-23.5419781,-46.643251899999996,109
305472,0.0,0.0452,380,97,250,2609.0,1631.0,1970,6,11.2,0,4,1,0.2,-23.5566069,-46.644409,52
400981,0.0,0.0172,1000,137,600,3701.0,2139.0,1972,16,20.0,0,0,1,0.44,-23.533678100000003,-46.672532200000006,133
1056061,1.0,0.0009,3127,24,1808,725.0,1607.0,2014,23,104.3,1,0,2,0.96,-23.626154500000002,-46.740587,121
113940,0.0,0.0741,602,352,551,6036.0,2497.0,1999,15,16.4,0,1,1,0.82,-23.5415038,-46.6587274,48
245891,0.0,0.0034,1170,34,1170,2732.0,2139.0,1972,18,28.0,0,0,2,0.44,-23.552436,-46.638677,82
221470,1.0,0.0118,2000,203,1603,3379.0,2497.0,2013,22,50.0,0,1,1,0.96,-23.6040433,-46.678259499999996,31
552995,0.0,0.0137,1685,194,1427,2687.0,2139.0,2005,21,34.75,0,0,1,0.88,-23.5984331,-46.6341096,66
717635,0.0,0.012,3628,177,393,1737.0,2139.0,1982,20,53.1,0,0,3,0.6,-23.4939184,-46.624964500000004,12
732070,0.0,0.0055,4188,181,4000,1311.0,1607.0,1996,24,45.0,0,0,1,0.79,-23.47185,-46.630367299999996,128
140308,0.0,0.0179,1020,144,960,4740.0,2139.0,1994,16,20.0,0,0,1,0.76,-23.5574793,-46.6785474,66
835444,0.0,0.0131,2000,137,518,2270.0,1607.0,1975,19,40.0,0,0,3,0.49,-23.631497600000003,-46.7044849,82
425971,0.0,0.0046,1863,96,632,3043.0,2497.0,1991,15,43.25,1,1,2,0.73,-23.5341118,-46.6849787,34
1026273,0.0,0.029,1500,85,261,434.0,927.0,2002,9,30.0,0,4,1,0.76,-23.623217899999997,-46.7577152,145
1055870,1.0,0.0047,3127,72,1808,725.0,1607.0,2014,23,104.3,0,0,2,0.96,-23.626154500000002,-46.740587,94
894791,0.0,0.051,2974,728,800,2641.0,1854.0,1993,9,58.3,0,1,1,0.75,-23.591752800000002,-46.718351899999995,146
557045,0.0,0.0096,4930,159,4350,1102.0,1607.0,2005,14,103.0,0,0,2,0.88,-23.599141699999997,-46.6060881,42
203695,0.0,0.0195,1600,172,440,3295.0,2139.0,1976,14,40.0,0,0,1,0.51,-23.585320899999996,-46.6427807,84
884142,1.0,0.0041,6159,88,4778,944.0,1607.0,2016,19,90.0,0,0,1,0.98,-23.511385999999998,-46.715409,93
1074324,0.0,0.0042,11474,66,2283,204.0,927.0,2003,5,115.0,0,4,2,0.78,-23.513114899999998,-46.3797109,18
982304,0.0,0.0026,15657,107,2830,453.0,1224.0,2000,11,75.0,0,0,3,0.83,-23.5647796,-46.4767722,140
948054,0.0,0.0106,1609,141,1400,1176.0,1607.0,2015,18,51.05,0,0,3,0.97,-23.598366,-46.7400481,140
115204,0.0,0.0178,1195,170,800,6696.0,2139.0,1975,15,23.9,0,0,1,0.49,-23.5737889,-46.6428228,84
270582,0.0,0.0006,2512,25,2000,2736.0,2139.0,1977,22,48.7,1,0,3,0.52,-23.556315100000003,-46.639936799999994,36
314548,0.0,0.0227,939,156,700,5710.0,2497.0,1971,12,20.1,0,1,1,0.42,-23.5623413,-46.6468659,9
1020564,0.0,0.0064,6183,149,2579,511.0,1224.0,1994,14,226.93,0,0,2,0.76,-23.6479669,-46.760799600000006,42
117301,0.0,0.0161,1117,145,700,6660.0,2139.0,1971,16,28.0,0,0,1,0.42,-23.5703476,-46.6478431,84
466903,0.0,0.0478,900,232,762,1556.0,1607.0,1991,10,20.0,0,0,1,0.73,-23.5565247,-46.579525700000005,10
311282,0.0,0.0003,13607,32,2600,5406.0,2139.0,1981,29,100.2,1,0,1,0.59,-23.562512899999998,-46.6478076,29
752619,0.0,0.111,320,129,260,1948.0,2139.0,1970,5,10.0,0,0,1,0.41,-23.4993117,-46.629791600000004,133
470827,0.0,0.0323,1200,101,823,2567.0,1607.0,1956,7,20.0,0,0,1,0.2,-23.5641463,-46.5968669,10
