,tipo_de_contribuinte_1,fracao_ideal,area_do_terreno,area_construida,area_ocupada,valor_do_m2_do_terreno,valor_do_m2_de_construcao,ano_da_construcao_corrigido,quantidade_de_pavimentos,testada_para_calculo,tipo_de_uso_do_imovel,tipo_de_padrao_da_construcao,tipo_de_terreno,fator_de_obsolescencia,latitude,longitude,labels
536188,1.0,0.0049,2862,113,1802,2567.0,2497.0,2010,24,0.0,0,1,3,0.93,-23.593273999999997,-46.6509645,38
387228,1.0,0.0187,1200,137,490,6008.0,2139.0,1964,14,20.0,0,0,1,0.3,-23.5352529,-46.6605403,31
1069773,1.0,0.01,8978,131,1080,373.0,927.0,2008,5,115.0,0,4,1,0.86,-23.5862497,-46.801974,145
480997,0.0,0.0149,673,122,300,2077.0,2139.0,1970,14,31.5,0,0,1,0.41,-23.560462,-46.6328715,84
540104,0.0,0.0496,387,76,112,2916.0,2139.0,1974,10,26.0,0,0,3,0.48,-23.595858800000002,-46.6437386,109
367873,1.0,0.0053,4790,91,1677,1327.0,1607.0,2010,19,71.45,0,0,2,0.93,-23.5226092,-46.629312299999995,94
1126215,0.0,0.005,6905,54,1475,72.0,927.0,2006,10,78.33,0,4,3,0.83,-23.5935533,-46.406509899999996,18
861687,0.0,0.013,1667,161,1664,1766.0,1854.0,2001,20,33.33,0,1,1,0.84,-23.646648000000003,-46.6681214,146
872136,0.0,0.0078,4506,178,2165,961.0,1607.0,1988,3,79.06,0,0,3,0.69,-23.6449307,-46.6427912,140
1102866,0.0,0.0166,2393,57,720,168.0,703.0,1987,5,39.87,0,12,1,0.42,-23.552747600000004,-46.4357775,105
1060916,0.0,0.0017,35868,134,3327,820.0,1224.0,1997,14,239.5,0,0,3,0.8,-23.6788575,-46.6708452,24
1089511,0.0,0.0229,1562,48,458,217.0,703.0,1980,5,34.58,0,12,3,0.23,-23.555218,-46.4447685,17
202513,1.0,0.0179,1578,174,460,3264.0,2139.0,1983,15,44.81,0,0,3,0.62,-23.584586399999996,-46.6463598,144
91620,1.0,0.0062,2000,89,700,6160.0,2497.0,1983,18,50.0,2,1,3,0.62,-23.594115,-46.6719006,70
273695,0.0,0.0015,5339,54,3637,5096.0,2139.0,1982,24,74.28,0,0,1,0.6,-23.5474434,-46.644257200000006,97
593324,0.0,0.0123,1000,71,401,1368.0,2139.0,1988,9,20.0,0,0,1,0.69,-23.628024,-46.6357061,133
618514,0.0,0.0479,756,91,660,1020.0,1607.0,1963,8,33.0,0,0,1,0.28,-23.5923375,-46.580482,10
373010,1.0,0.0044,2459,65,755,1473.0,1607.0,2016,21,31.5,0,0,1,0.98,-23.5274392,-46.649295200000005,93
503319,0.0,0.0004,5297,23,5173,1493.0,2139.0,1996,23,80.66,1,0,3,0.79,-23.5751288,-46.6038081,36
177104,0.0,0.0012,1375,19,1226,3389.0,2139.0,1997,21,27.5,1,0,1,0.8,-23.6139534,-46.6825689,131
1077270,0.0,0.0045,5222,90,3482,1295.0,1607.0,2012,19,60.0,0,0,1,0.95,-23.513304100000003,-46.6888572,128
1032620,0.0,0.0517,937,214,826,1742.0,1854.0,1995,10,30.0,0,1,1,0.78,-23.6333613,-46.730926399999994,146
4098,0.0,0.0198,490,69,430,7394.0,2139.0,1997,15,14.0,0,0,1,0.8,-23.5683698,-46.6555783,66
626490,0.0,0.0119,1462,138,1108,1609.0,1607.0,2006,22,30.0,0,0,1,0.89,-23.558351199999997,-46.5791415,78
572857,0.0,0.0492,274,61,218,1708.0,2139.0,1974,4,14.0,0,0,1,0.48,-23.6089754,-46.626775200000004,133
891380,0.0,0.0311,1061,135,850,896.0,1607.0,1995,9,21.32,0,0,1,0.78,-23.5764215,-46.7464111,128
160158,0.0,0.0042,1485,55,1173,5195.0,2584.0,2003,23,35.0,3,5,3,0.86,-23.6029316,-46.6620389,34
28718,0.0,0.0208,970,139,700,7980.0,2139.0,1971,13,20.0,0,0,1,0.42,-23.5750427,-46.6578713,84
2986,0.0,0.0016,1718,35,1411,8001.0,2497.0,1976,19,41.0,1,1,1,0.51,-23.5652789,-46.6583185,29
342273,0.0,0.0025,1566,27,1566,7796.0,2584.0,2003,22,35.0,3,5,1,0.86,-23.555013100000004,-46.6615415,34
1165863,0.0,0.0071,1707,73,504,1710.0,1607.0,1991,15,37.0,0,0,2,0.73,-23.6353193,-46.637556700000005,42
634031,1.0,0.0055,4410,160,3073,3142.0,1854.0,2016,29,0.0,0,1,3,0.98,-23.562789000000002,-46.5612598,38
892076,0.0,0.0014,2378,24,2108,1367.0,1607.0,1999,16,53.5,1,0,1,0.82,-23.575293,-46.730756400000004,131
940490,0.0,0.0017,32000,64,6435,612.0,1285.0,1983,4,0.0,0,4,3,0.32,-23.6738186,-46.656566999999995,126
255778,0.0,0.0122,660,81,600,3249.0,2139.0,1965,12,15.0,0,0,1,0.32,-23.5485791,-46.6486552,84
448783,0.0,0.0088,3353,97,839,1607.0,1607.0,2002,20,41.67,0,0,1,0.85,-23.5562125,-46.5992267,78
720696,1.0,0.0163,1920,103,739,852.0,1607.0,2012,9,43.0,0,0,1,0.95,-23.4799784,-46.6224866,93
983390,0.0,0.0061,5358,89,1037,698.0,1607.0,1996,9,67.0,0,0,3,0.79,-23.577464300000003,-46.5253036,140
194698,0.0,0.0028,2731,52,2269,2397.0,3352.0,2003,23,46.35,3,6,3,0.86,-23.6281414,-46.6637273,34
748943,1.0,0.0047,9241,217,5118,1036.0,3092.0,2012,23,88.93,0,2,3,0.95,-23.4989651,-46.64191470000001,20
222542,0.0,0.0309,450,66,219,4124.0,2139.0,1976,9,15.0,0,0,1,0.51,-23.603856699999998,-46.6758102,133
688931,1.0,0.0026,14305,78,4438,726.0,1607.0,2013,17,20.0,0,0,1,0.96,-23.5280458,-46.578424600000005,122
380653,0.0,0.0029,6028,116,3987,2297.0,2139.0,2004,20,0.0,0,0,3,0.88,-23.532467800000003,-46.65685379999999,12
159366,1.0,0.0027,1360,19,459,5996.0,2584.0,1987,18,43.0,4,5,2,0.67,-23.5814009,-46.682578799999995,67
384812,0.0,0.0333,1217,184,500,5043.0,2139.0,1982,15,26.15,0,0,1,0.6,-23.535763,-46.658065,133
369143,0.0,0.033,233,57,223,2275.0,1607.0,1973,8,6.8,0,0,1,0.46,-23.5293092,-46.63642720000001,10
138,0.0,0.0085,3247,251,2000,27414.0,2497.0,1963,26,59.8,0,1,2,0.28,-23.5640691,-46.653563500000004,68
1160945,0.0,0.0116,1627,156,1433,1819.0,2139.0,2003,19,39.0,0,0,1,0.86,-23.6112288,-46.6317516,66
654185,0.0,0.0055,5783,117,964,1822.0,1607.0,2005,16,0.0,0,0,3,0.88,-23.5592565,-46.548474,140
777966,1.0,0.0037,5249,53,1146,722.0,1607.0,2011,17,12.93,0,0,1,0.94,-23.501075699999998,-46.7237935,93
89012,0.0,0.1107,987,615,912,6127.0,3092.0,2008,9,12.22,0,2,1,0.91,-23.588914499999998,-46.670098100000004,69
882191,1.0,0.003,8573,89,1041,1569.0,1607.0,2011,28,0.0,0,0,3,0.94,-23.5342272,-46.7437917,38
766746,0.0,0.0069,2500,101,1876,824.0,1607.0,2005,19,50.0,0,0,1,0.88,-23.4977457,-46.6488708,128
475193,0.0,0.0039,1521,42,1012,1468.0,1607.0,1996,16,60.8,1,0,1,0.79,-23.578524899999998,-46.5925627,131
445710,1.0,0.0048,7360,63,948,1851.0,1607.0,1989,14,0.0,0,0,3,0.7,-23.5454997,-46.608667100000005,115
1134222,1.0,0.0125,3229,47,738,72.0,703.0,2000,5,34.18,0,12,2,0.72,-23.6081264,-46.3994184,43
170751,0.0,0.0092,2153,116,1656,2512.0,2139.0,2014,26,66.27,0,0,3,0.96,-23.5996725,-46.6869216,98
630982,1.0,0.0113,2882,140,2112,1650.0,1607.0,2015,22,0.0,0,0,3,0.97,-23.573435800000002,-46.586985799999994,38
95749,0.0,0.0196,973,153,500,6580.0,2139.0,1973,13,19.45,0,0,1,0.46,-23.548475399999997,-46.660138,84
813566,0.0,0.0029,9138,86,1843,1082.0,1607.0,1992,19,34.75,0,0,1,0.74,-23.5571427,-46.7455647,128
226659,0.0,0.0372,560,103,157,4398.0,2139.0,1982,12,14.0,0,0,1,0.6,-23.5934848,-46.6741908,133
852834,1.0,0.0156,2400,145,792,1407.0,1607.0,1991,17,60.0,0,0,2,0.73,-23.6443676,-46.667430200000005,94
197463,0.0,0.0034,4800,109,1978,3120.0,2139.0,1970,16,119.49,0,0,2,0.41,-23.5802748,-46.6477165,97
326622,0.0,0.0192,658,97,203,4798.0,2139.0,1999,15,21.9,0,0,1,0.82,-23.5524863,-46.6565265,66
679243,1.0,0.0348,1434,195,203,1465.0,1607.0,1988,16,5.63,0,0,1,0.69,-23.5304717,-46.5593065,93
122493,0.0,0.037,1000,265,420,6709.0,2139.0,1977,15,20.0,0,0,1,0.52,-23.575941699999998,-46.64655020000001,84
715141,1.0,0.0136,3694,167,1576,1819.0,2139.0,2009,19,16.1,0,0,1,0.92,-23.4904267,-46.6243414,93
179888,0.0,0.0027,2951,80,1883,2332.0,2139.0,2012,28,67.53,0,0,5,0.95,-23.6137936,-46.69083070000001,1
813237,0.0,0.0021,13413,96,3192,1082.0,1607.0,1980,16,62.0,0,0,1,0.57,-23.556831699999996,-46.7449281,104
343959,0.0,0.0176,1080,125,550,5308.0,2139.0,1973,15,18.0,0,0,1,0.46,-23.556566500000002,-46.6567703,84
520910,1.0,0.0286,1156,213,924,3208.0,2139.0,2007,19,42.45,0,0,1,0.9,-23.5895058,-46.6325113,31
79195,0.0,0.093,1200,502,990,4055.0,3092.0,1991,13,30.0,0,2,1,0.73,-23.6107638,-46.6575498,69
1113963,1.0,0.0312,2103,49,388,47.0,703.0,1996,4,39.15,0,12,1,0.64,-23.587061300000002,-46.4220403,6
24978,0.0,0.0102,1204,77,700,8070.0,2139.0,1975,20,16.04,0,0,1,0.49,-23.5718805,-46.6574089,84
1164279,0.0,0.0216,1049,133,989,1945.0,1607.0,1970,6,44.56,0,0,3,0.41,-23.6361431,-46.64078920000001,82
1094047,1.0,0.0166,2590,57,720,222.0,703.0,1987,5,38.81,0,12,1,0.42,-23.545406699999997,-46.4409775,91
405816,0.0,0.016,991,120,928,3044.0,2139.0,1990,16,31.58,0,0,2,0.71,-23.535293,-46.679300700000006,42
1055567,1.0,0.0056,5542,137,2800,777.0,1607.0,2011,22,0.0,0,0,3,0.94,-23.6335964,-46.734753399999995,38
388958,0.0,0.0245,720,126,451,6098.0,2139.0,1970,11,18.0,0,0,1,0.41,-23.5363903,-46.6589549,133
509173,0.0,0.003,4451,106,3572,2776.0,2139.0,2006,26,67.55,0,0,3,0.89,-23.5748403,-46.6397236,98
1171257,0.0,0.0031,1600,30,311,4663.0,2139.0,1978,22,40.0,1,0,3,0.54,-23.6062205,-46.6670539,101
1124988,0.0,0.0104,4895,49,1163,72.0,703.0,1996,4,98.64,0,12,2,0.64,-23.5919038,-46.410463899999996,119
10579,0.0,0.0051,1142,47,450,7922.0,2139.0,1975,15,22.78,1,0,1,0.49,-23.5630487,-46.6594335,53
8289,0.0,0.0395,615,182,310,8130.0,2497.0,1974,16,16.0,0,1,1,0.48,-23.557924300000003,-46.664287,9
1154295,1.0,0.019,1100,108,800,656.0,1224.0,2016,14,140.0,0,0,2,0.98,-23.484645699999998,-46.7016846,94
150343,0.0,0.0004,5539,25,4601,5790.0,2497.0,2008,30,68.0,1,1,3,0.91,-23.5954755,-46.67114829999999,36
840767,1.0,0.0046,3049,144,997,1603.0,1607.0,2012,25,31.22,0,0,3,0.95,-23.6340031,-46.7138214,38
1136431,0.0,0.0049,1490,30,272,2639.0,2497.0,1981,13,33.0,1,1,1,0.59,-23.607186499999997,-46.707908,131
143714,0.0,0.0314,2477,149,1466,4580.0,2139.0,1958,3,17.85,0,0,2,0.2,-23.555736399999997,-46.676949900000004,23
488443,0.0,0.062,746,135,746,1945.0,2139.0,1985,9,18.65,0,0,1,0.64,-23.565764399999996,-46.6308257,133
1076048,0.0,0.0122,2130,92,409,1020.0,1607.0,1986,15,26.0,0,0,1,0.66,-23.5300255,-46.6004273,10
872318,0.0,0.0137,1287,98,485,895.0,1607.0,1984,10,23.93,0,0,1,0.63,-23.6474557,-46.6432182,10
711111,0.0,0.0661,949,166,572,1435.0,2139.0,1997,12,33.5,0,0,3,0.8,-23.4799475,-46.6098179,75
484733,0.0,0.0245,600,115,520,2357.0,2139.0,1957,9,20.0,0,0,1,0.2,-23.565443600000002,-46.632323,84
444513,1.0,0.0077,2307,59,468,1055.0,1285.0,2004,17,33.2,0,4,1,0.79,-23.5456848,-46.595360799999995,2
762347,0.0,0.0595,605,92,410,1871.0,2139.0,1972,4,36.0,0,0,2,0.44,-23.501177,-46.6178666,13
934785,0.0,0.0021,36300,100,2195,670.0,1607.0,1995,14,214.1,0,0,2,0.78,-23.6306946,-46.58567670000001,148
827445,0.0,0.0179,1125,158,1125,4081.0,2139.0,1999,15,22.5,0,0,1,0.82,-23.6247522,-46.683948799999996,66
16640,1.0,0.0211,1094,194,971,8198.0,2497.0,2002,25,28.0,0,1,1,0.85,-23.5621443,-46.6655198,31
